CaptureSite,ForagingGround,CaptureMethod,Species,Sex,Status,CaptureSiteCategory,Type,year,week_of_year,year_woy
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2016,50,201650
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,31,201031
0,Ocean,Net,Species_5,Unknown, sm patches of calcerous algae on shell and supras,CaptureSiteCategory_2,Type_1,2003,39,200339
5,Creek,Net,Species_6,,,CaptureSiteCategory_4,Type_0,2009,5,200905
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,9,201509
4,Ocean,Net,Species_5,Unknown,Admitted,CaptureSiteCategory_2,Type_1,2007,50,200750
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,52,201452
13,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,33,201733
23,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,51,201851
7,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,39,201839
9,Ocean,Net,Species_6,,,CaptureSiteCategory_1,Type_1,2011,32,201132
15,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,48,201848
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,48,201848
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,43,201543
2,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2007,3,200703
19,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,2,201702
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,34,201834
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2013,5,201305
24,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,24,201724
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,4,201704
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,37,201637
11,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,26,201726
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,51,200451
26,Ocean,Collected Floater,Species_6,Unknown,Released,CaptureSiteCategory_3,Type_1,2004,30,200430
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2015,12,201512
0,Ocean,Not_Recorded,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2002,32,200232
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,46,201446
26,Ocean,Beached,Species_5,Unknown,,CaptureSiteCategory_3,Type_1,2004,38,200438
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,48,201548
11,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,22,201822
7,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2015,2,201502
7,Creek,Uzio,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2007,34,200734
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,22,201522
25,Creek,Net,Species_5,Unknown,Admitted,CaptureSiteCategory_0,Type_0,2013,50,201350
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,22,201222
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2011,30,201130
16,Creek,Net,Species_5,Unknown, sm Bs down central scutes +left marginals,CaptureSiteCategory_4,Type_0,2001,7,200107
24,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,41,201541
7,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2015,9,201509
23,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,21,200921
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,22,201322
15,Creek,Net,Species_6,,,CaptureSiteCategory_0,Type_0,2010,39,201039
7,Creek,Longline,Species_5,,,CaptureSiteCategory_4,Type_0,2008,43,200843
1,Ocean,Net,Species_5,, no other major characteristics,CaptureSiteCategory_2,Type_1,2008,37,200837
15,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,23,201423
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,20,201220
16,Creek,Net,Species_5,Unknown,,CaptureSiteCategory_4,Type_0,2003,47,200347
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,18,201118
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2010,24,201024
25,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2011,42,201142
6,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,47,201247
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,22,201622
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,25,201225
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,18,201218
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,15,201015
8,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,21,201221
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2002,6,200206
